observation_date,CPALTT01CNM657N
2018-01-01,0.5999999999999999778
2018-02-01,1.1999999999999999556
2018-03-01,-1.1000000000000000888
2018-04-01,-0.2000000000000000111
2018-05-01,-0.2000000000000000111
2018-06-01,-0.1000000000000000056
2018-07-01,0.2999999999999999889
2018-08-01,0.6999999999999999556
2018-09-01,0.6999999999999999556
2018-10-01,0.2000000000000000111
2018-11-01,-0.2999999999999999889
2018-12-01,0.0000000000000000000
2019-01-01,0.5000000000000000000
2019-02-01,1.0000000000000000000
2019-03-01,-0.4000000000000000222
2019-04-01,0.1000000000000000056
2019-05-01,0.0000000000000000000
2019-06-01,-0.1000000000000000056
2019-07-01,0.4000000000000000222
2019-08-01,0.6999999999999999556
2019-09-01,0.9000000000000000222
2019-10-01,0.9000000000000000222
2019-11-01,0.4000000000000000222
2019-12-01,0.0000000000000000000
2020-01-01,1.3999999999999999112
2020-02-01,0.8000000000000000444
2020-03-01,-1.1999999999999999556
2020-04-01,-0.9000000000000000222
2020-05-01,-0.8000000000000000444
2020-06-01,-0.1000000000000000056
2020-07-01,0.5999999999999999778
2020-08-01,0.4000000000000000222
2020-09-01,0.2000000000000000111
2020-10-01,-0.2999999999999999889
2020-11-01,-0.5999999999999999778
2020-12-01,0.6999999999999999556
2021-01-01,1.0000000000000000000
2021-02-01,0.5999999999999999778
2021-03-01,-0.5000000000000000000
2021-04-01,-0.2999999999999999889
2021-05-01,-0.2000000000000000111
2021-06-01,-0.4000000000000000222
2021-07-01,0.2999999999999999889
2021-08-01,0.1000000000000000056
2021-09-01,0.0000000000000000000
2021-10-01,0.6999999999999999556
2021-11-01,0.4000000000000000222
2021-12-01,-0.2999999999999999889
2022-01-01,0.4000000000000000222
2022-02-01,0.5999999999999999778
2022-03-01,0.0000000000000000000
2022-04-01,0.4000000000000000222
2022-05-01,-0.2000000000000000111
2022-06-01,0.0000000000000000000
2022-07-01,0.5000000000000000000
2022-08-01,-0.1000000000000000056
2022-09-01,0.2999999999999999889
2022-10-01,0.1000000000000000056
2022-11-01,-0.2000000000000000111
2022-12-01,0.0000000000000000000
2023-01-01,0.8000000000000000444
2023-02-01,-0.5000000000000000000
2023-03-01,-0.2999999999999999889
2023-04-01,-0.1000000000000000056
2023-05-01,-0.2000000000000000111
2023-06-01,-0.2000000000000000111
2023-07-01,0.2000000000000000111
2023-08-01,0.2999999999999999889
2023-09-01,0.2000000000000000111
2023-10-01,-0.1000000000000000056
2023-11-01,-0.5000000000000000000
2023-12-01,0.1000000000000000056
2024-01-01,0.2999999999999999889
2024-02-01,1.0000000000000000000
2024-03-01,-1.0000000000000000000
